titulo,popularidade,nota_media,generos
O Telefone Preto 2,18.4106,0.0,"Thriller, Terror"
Der Frühreifen-Report,18.391,5.5,"Comédia, Romance"
Padel Nosso,18.3306,5.0,Comédia
Batman: O Cavaleiro das Trevas Ressurge,18.3083,7.787,"Thriller, Ação, Crime, Drama"
A Viagem de Chihiro,18.2588,8.536,"Fantasia, Animação, Família"
Vingadores: Ultimato,18.0867,8.238,"Aventura, Ação, Ficção científica"
Beekeeper: Rede de Vingança,18.0751,7.285,"Ação, Crime, Thriller"
Batman,17.9818,7.658,"Thriller, Crime, Mistério"
Harry Potter e as Relíquias da Morte - Parte 2,17.9696,8.083,"Aventura, Fantasia"
Até a Última Gota,17.9469,7.851,"Thriller, Crime, Drama"
LEGO Disney Princesa: Vilões Unidos,17.8391,8.083,"Animação, Aventura, Fantasia, Família, Comédia"
Barbie,17.8204,6.954,"Comédia, Aventura"
Duna,17.76,7.779,"Ficção científica, Aventura"
Flow,17.72,8.145,"Família, Aventura, Fantasia, Animação"
The Old Guard 2,17.6795,6.026,"Ação, Fantasia"
Below Her Mouth,17.677,6.796,"Romance, Drama"
배달노출: 알몸으로 유혹하기,17.6655,6.6,Romance
Homem-Aranha,17.6604,7.316,"Ficção científica, Ação"
Peça-me o Que Quiser,17.5377,6.2,"Drama, Romance"
Branca de Neve,17.47,4.3,"Família, Fantasia"
O Céu de Suely,17.437,7.5,Drama
Operação Big Hero,17.4179,7.727,"Comédia, Ação, Família, Aventura, Animação"
De Volta para o Futuro,17.3814,8.321,"Aventura, Ficção científica, Comédia"
Oppenheimer,17.3311,8.05,"Drama, História"
Dirty Ice Cream,17.1669,5.2,Drama
Legado nos Ossos,17.1625,6.566,"Crime, Mistério, Thriller"
O Poderoso Chefão: Parte II,17.1534,8.571,"Crime, Drama"
Infiltrado,17.1443,7.598,"Crime, Drama, Thriller"
Os Filhos do Século,17.1362,5.9,"Romance, Drama"
Os Caras Malvados,17.0829,7.5,"Comédia, Família, Animação, Aventura, Crime"
"Se Beber, Não Case!",17.0566,7.328,Comédia
Cinquenta Tons de Liberdade,17.0369,6.687,"Drama, Romance"
